0,0
1,2
35,1
4,0
65,9
33,2
104,0
9,0
16,0
41,0
23,0
90,6
93,0
37,2
103,2
105,2
45,2
109,2
89,2
57,8
25,2
27,9
101,1
2,3
64,3
3,4
100,3
6,3
72,4
74,4
13,3
14,7
47,3
15,3
60,3
106,3
5,4
102,4
81,4
40,4
11,6
52,4
84,4
26,7
58,11
108,5
28,6
69,6
97,11
98,4
10,4
107,4
32,3
39,3
7,5
85,7
55,1
68,5
8,5
73,10
77,5
78,5
111,5
82,1
21,5
22,5
51,5
50,6
24,6
12,7
34,7
36,11
38,7
43,7
17,9
18,7
110,10
99,7
71,7
54,7
92,8
114,10
67,10
96,9
113,9
20,9
87,9
62,9
95,9
42,7
19,1
61,7
31,7
44,8
79,1
94,1
29,1
30,1
70,9
75,8
76,9
46,10
66,8
53,10
56,9
63,11
80,1
91,8
49,10
59,11
112,8
48,8
86,8
83,10
88,10
